HP3458A
=======
HP3458A
REV 4,1
OPT 0,0
"  .         V DC"
CALNUM 2562
5086, underload dcv 100mV valid cal value 113 
9000, underload dcv 100mV upper limit 113 
0, underload dcv 100mV lower limit 113 
5000, underload dcv 1V initial value 114 
5080, underload dcv 1V valid cal value 114 
9000, underload dcv 1V upper limit 114 
0, underload dcv 1V lower limit 114 
5000, underload dcv 10V initial value 115 
5082, underload dcv 10V valid cal value 115 
9000, underload dcv 10V upper limit 115 
0, underload dcv 10V lower limit 115 
5000, underload dcv 100V initial value 116 
5077, underload dcv 100V valid cal value 116 
9000, underload dcv 100V upper limit 116 
0, underload dcv 100V lower limit 116 
5000, underload dcv 1000V initial value 117 
5079, underload dcv 1000V valid cal value 117 
9000, underload dcv 1000V upper limit 117 
0, underload dcv 1000V lower limit 117 
50000, overload dcv 100mV initial value 118 
61032, overload dcv 100mV valid cal value 118 
90000, overload dcv 100mV upper limit 118 
0, overload dcv 100mV lower limit 118 
50000, overload dcv 1V initial value 119 
60960, overload dcv 1V valid cal value 119 
90000, overload dcv 1V upper limit 119 
0, overload dcv 1V lower limit 119 
50000, overload dcv 10V initial value 120 
60984, overload dcv 10V valid cal value 120 
90000, overload dcv 10V upper limit 120 
0, overload dcv 10V lower limit 120 
50000, overload dcv 100V initial value 121 
60924, overload dcv 100V valid cal value 121 
90000, overload dcv 100V upper limit 121 
0, overload dcv 100V lower limit 121 
50000, overtoad dcv 1000V initial value 122 
60948, overtoad dcv 1000V valid cal value 122 
90000, overtoad dcv 1000V upper limit 122 
0, overtoad dcv 1000V lower limit 122 
5000, underload ohm 10 initial value 123 
5010, underload ohm 10 valid cal value 123 
9000, underload ohm 10 upper limit 123 
0, underload ohm 10 lower limit 123 
5000, underload ohm 100 initial value 124 
5011, underload ohm 100 valid cal value 124 
9000, underload ohm 100 upper limit 124 
0, underload ohm 100 lower limit 124 
5000, underload ohm 1k initial value 125 
5005, underload ohm 1k valid cal value 125 
9000, underload ohm 1k upper limit 125 
0, underload ohm 1k lower limit 125 
5000, underload ohm 10k initial value 126 
5004, underload ohm 10k valid cal value 126 
9000, underload ohm 10k upper limit 126 
0, underload ohm 10k lower limit 126 
2500, underload ohm 100k initial value 127 
2503, underload ohm 100k valid cal value 127 
9000, underload ohm 100k upper limit 127 
0, underload ohm 100k lower limit 127 
2500, underload ohm 1M initial value 128 
2502, underload ohm 1M valid cal value 128 
9000, underload ohm 1M upper limit 128 
0, underload ohm 1M lower limit 128 
2500, underload ohm 10M initial value 129 
2503, underload ohm 10M valid cal value 129 
9000, underload ohm 10M upper limit 129 
0, underload ohm 10M lower limit 129 
12500, underload ohm 100M initial value 130 
12515, underload ohm 100M valid cal value 130 
90000, underload ohm 100M upper limit 130 
0, underload ohm 100M lower limit 130 
25000, underload ohm 1G initial value 131 
22755, underload ohm 1G valid cal value 131 
90000, underload ohm 1G upper limit 131 
0, underload ohm 1G lower limit 131 
50000, overload ohm 10 initial value 132 
60120, overload ohm 10 valid cal value 132 
90000, overload ohm 10 upper limit 132 
0, overload ohm 10 lower limit 132 
50000, overload ohm 100 initial value 133 
60132, overload ohm 100 valid cal value 133 
90000, overload ohm 100 upper limit 133 
0, overload ohm 100 lower limit 133 
50000, overload ohm 1k initial value 134 
60060, overload ohm 1k valid cal value 134 
90000, overload ohm 1k upper limit 134 
0, overload ohm 1k lower limit 134 
50000, overload ohm 10k initial value 135 
60048, overload ohm 10k valid cal value 135 
90000, overload ohm 10k upper limit 135 
0, overload ohm 10k lower limit 135 
25000, overload ohm 100k initial value 136 
30036, overload ohm 100k valid cal value 136 
90000, overload ohm 100k upper limit 136 
0, overload ohm 100k lower limit 136 
25000, overload ohm 1M initial value 137 
30024, overload ohm 1M valid cal value 137 
90000, overload ohm 1M upper limit 137 
0, overload ohm 1M lower limit 137 
25000, overload ohm 10M initial value 138 
30036, overload ohm 10M valid cal value 138 
90000, overload ohm 10M upper limit 138 
0, overload ohm 10M lower limit 138 
125000, overload ohm 100M initial value 139 
150180, overload ohm 100M valid cal value 139 
